epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,13281.6,2.14087,1.5374,0.00284,0.4173,0.30469,0.27894,0.15214,2.01543,1.49469,0.00364,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,13669.3,2.14814,1.54272,0.00284,0.42702,0.3033,0.28063,0.1548,2.01423,1.4974,0.00362,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,14056.4,2.1555,1.54547,0.00284,0.40006,0.31323,0.27722,0.15196,2.00786,1.49123,0.00362,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,14444.9,2.14142,1.53286,0.00283,0.40553,0.31326,0.28525,0.15618,2.01658,1.48899,0.00364,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,14834.6,2.15101,1.54012,0.00281,0.40431,0.31318,0.28115,0.15318,2.01025,1.49561,0.00365,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,15222.2,2.13373,1.52451,0.0028,0.40471,0.31769,0.28393,0.15574,2.00271,1.47687,0.00361,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,15634.2,2.13149,1.52171,0.00279,0.42399,0.32148,0.29317,0.16074,2.00505,1.47591,0.00363,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,16022.1,2.14341,1.52715,0.00279,0.41101,0.31881,0.28686,0.15879,1.99882,1.48578,0.00359,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,16409.2,2.13066,1.51477,0.00278,0.41786,0.31604,0.28858,0.15888,1.99433,1.47246,0.00359,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,16798.1,2.12442,1.51258,0.00279,0.42274,0.31635,0.2888,0.15819,1.99733,1.47748,0.00357,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,17185.5,2.13172,1.51518,0.00278,0.4241,0.32311,0.29058,0.15905,1.99854,1.47991,0.0036,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,17574.3,2.13745,1.51222,0.00277,0.41276,0.32084,0.29028,0.15894,1.98783,1.46714,0.00356,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,17960.9,2.11744,1.49747,0.00276,0.42833,0.32066,0.29356,0.16279,1.97967,1.46186,0.00355,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,18349.8,2.1133,1.50005,0.00277,0.41628,0.32214,0.29096,0.16084,1.98146,1.46449,0.00356,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,18738.2,2.11278,1.48854,0.00275,0.41928,0.32791,0.29674,0.16341,1.98033,1.458,0.00353,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,19121.9,2.11943,1.49015,0.00275,0.42376,0.32594,0.29606,0.16467,1.98071,1.4551,0.00355,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
